@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-R2,4-6,8-11,13-14,16-17,19-21,23-24-weka.filters.unsupervised.instance.Resample-S1-Z25.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2,6'

@attribute V3 numeric
@attribute V12 numeric
@attribute V15 numeric
@attribute V18 numeric
@attribute Class {1,2,3,4}

@data
2.058,0.978,5,5,1
2.326,1.198,1.464,0.624,1
1.712,5,5,0.6,1
1.579,5,1.272,0.588,1
2.033,1.573,0.776,0.794,2
2.493,1.233,0.558,0.757,2
2.734,1.01,0.99,0.666,1
1.698,0.946,1.069,0.935,3
1.702,5,5,0.606,1
1.505,5,5,0.771,4
2.503,3.911,0.909,0.89,1
2.563,2.646,5,0.704,4
1.416,0.85,5,0.519,2
1.491,5,5,0.8,1
1.46,5,1.571,0.509,4
1.464,5,0.85,0.831,2
1.482,1.492,0.806,0.501,2
1.402,5,5,0.455,2
1.837,1.727,1.863,0.482,4
2.086,1.86,1.358,2.689,3
1.522,1.53,1.785,0.729,1
2.595,3.869,0.799,0.768,2
2.048,1.573,1.134,0.698,2
1.515,2.137,1.485,0.513,4
5,2.064,2.124,0.549,1
2.609,0.852,0.826,0.98,2
5,1.632,1.658,0.455,4
1.619,2.116,2.22,5,4
1.422,0.837,2.516,0.428,2
1.37,0.804,1.092,0.61,2
1.415,0.889,5,0.5,2
1.183,2.555,3.682,0.659,1
2.844,5,0.851,1.231,2
5,1.698,2.022,0.485,4
1.35,1.67,0.762,0.832,2
1.449,5,5,0.834,1
1.276,0.896,1.14,0.575,2
2.302,1.211,5,0.633,1
1.321,1.53,0.793,0.842,2
5,1.747,5,0.767,1
2.47,3.77,0.938,0.995,3
5,1.736,5,0.795,1
1.333,1.732,0.792,0.811,2
5,2.672,5,0.7,4
2.251,1.301,1.554,0.658,1
3.665,1.352,5,0.741,1
2.648,1.204,0.766,0.856,2
1.426,0.878,0.908,0.485,2
1.476,1.571,5,0.763,1
1.59,1.856,5,0.617,1
5,0.857,0.834,0.775,2
1.339,2.245,0.902,0.684,1
1.442,0.823,0.508,0.448,2
1.979,2.739,5,0.599,1
0.86,5,0.84,0.667,2
1.833,5,0.808,0.616,2
1.392,0.884,1.088,0.482,2
2.373,3.986,1.585,0.783,1
3.57,0.91,0.787,5,2
0.914,1.36,1.219,0.557,1
1.607,1.42,1.69,0.696,1
5,1.727,0.742,0.431,2
1.627,1.905,1.905,0.575,1
1.713,1.306,5,0.671,1
5,1.52,1.312,0.466,4
1.368,2.21,5,0.67,1
1.508,5,0.856,0.833,2
2.998,2.037,5,0.552,1
1.504,2.029,2.067,0.65,1
1.566,2.07,1.299,0.53,1
0.935,1.338,1.199,0.563,1
5,1.013,3.482,0.78,1
2.636,3.834,0.769,0.905,2
3.65,1.373,1.617,0.743,1
1.415,1.563,0.865,0.515,2
3.022,1.994,5,0.553,1
1.259,2.327,5,0.735,1
5,1.738,2.322,0.484,4
5,1.462,5,0.713,1
0.716,5,5,0.769,1
2.441,2.683,0.916,0.802,1
4.138,0.811,0.876,0.548,2
3.687,1.416,3.595,0.782,1
1.973,2.806,5,0.592,1
2.136,1.472,1.091,0.716,1
5,1.563,1.355,0.479,4
2.714,5,0.796,0.827,2
1.954,1.536,0.829,0.49,2
2.467,2.781,0.914,0.75,1
1.426,1.545,1.096,0.486,4
1.433,0.882,0.57,0.504,2
1.697,2.549,5,0.599,1
5,1.365,1.36,0.514,1
1.556,5,1.321,0.524,1
1.629,2.021,1.32,0.538,1
1.468,5,0.839,0.993,2
5,1.531,1.159,0.477,4
1.589,5,0.979,0.776,1
4.785,0.813,0.866,0.527,2
1.485,5,5,0.757,1
1.498,5,0.852,0.992,2
2.311,1.01,5,5,1
5,1.644,1.774,0.482,4
2.493,3.936,0.925,0.886,1
1.41,0.864,5,0.502,2
1.571,1.634,1.201,0.466,4
2.753,1.795,0.766,0.813,2
2.402,1.105,5,0.587,1
2.057,2.662,5,0.584,1
2.369,1.848,1.084,2.308,3
1.971,1.79,5,1.386,3
1.662,1.844,5,0.568,1
1.556,5,5,0.815,4
1.57,3.097,5,0.71,1
1.483,3.819,0.777,0.762,2
5,2.044,0.903,0.802,1
1.394,2.191,0.844,0.661,2
1.414,1.573,0.848,0.478,2
5,1.582,1.371,0.475,4
1.372,2.197,0.92,0.718,1
1.344,0.835,1.101,0.589,2
1.299,0.837,0.811,0.878,2
1.412,5,0.831,0.454,2
1.879,1.644,0.644,0.509,2
2.615,3.861,0.792,0.891,2
1.307,2.451,3.615,0.64,1
3.728,1.28,1.534,0.719,1
1.427,1.546,1.514,0.488,4
1.42,5,0.802,0.941,2
4.129,0.783,1.075,0.595,2
2.453,5,0.954,1.003,3
4.068,0.897,0.951,0.57,2
1.52,1.477,1.417,0.504,4
1.365,5,0.88,1.087,2
1.454,5,0.834,1.014,2
5,1.625,1.783,0.483,4
5,2.656,5,0.693,1
1.414,1.422,1.422,0.49,4
4.774,0.816,0.856,0.523,2
1.65,0.922,1.05,0.939,3
2.499,0.989,5,0.517,1
1.553,0.857,5,5,2
1.592,2.179,5,5,4
5,0.813,0.792,0.773,2
1.376,2.2,0.848,0.667,2
2.352,5,0.6,0.785,2
2.798,2.406,5,0.634,1
1.369,5,0.876,1.081,2
1.389,5,5,0.519,2
1.632,2.387,5,0.513,1
1.46,2.252,3.467,0.59,1
1.724,0.823,5,1.082,2
1.87,5,0.781,0.636,2
1.424,0.886,5,0.504,2
1.463,0.842,1.088,0.455,2

